Date,sp500,dtb3,aig,ibm,ford,xom
2000-12-26,1315.1899,5.61,1487.1885,59.568932,15.062326,27.308496
2000-12-27,1328.92,5.59,1516.7227,59.481144,14.787748,27.057961
2000-12-28,1334.22,5.71,1510.0535,59.876217,15.219225,26.788145
2000-12-29,1320.28,5.73,1502.4316,59.700642,14.709301,26.807421
2001-01-02,1283.27,5.69,1476.7086,59.568932,15.258448,27.481939
2001-01-03,1347.5601,5.53,1462.4181,66.460838,15.768371,26.287088
2001-01-04,1333.34,5.23,1356.6665,65.451202,16.905893,25.554741
2001-01-05,1298.35,4.99,1339.5179,66.021828,16.474415,25.670368
2001-01-08,1295.86,5.06,1348.092,65.714577,16.082174,25.554741
2001-01-09,1300.8,5.1,1326.1796,65.012207,16.592091,25.284931
2001-01-10,1313.27,5.15,1318.5582,65.62677,16.474415,24.976589
2001-01-11,1326.8199,5.17,1285.213,65.802353,16.905893,25.207838
2001-01-12,1318.55,5.19,1252.8204,65.890144,16.552866,25.535473
2001-01-16,1326.65,5.22,1292.8346,65.143921,17.023565,25.22711
2001-01-17,1329.47,5.22,1295.6929,67.909439,16.866657,24.745314
2001-01-18,1347.97,5.14,1318.5582,76.074417,17.062788,24.398413
2001-01-19,1342.54,5.1,1282.3547,78.137566,16.513636,24.494778
2001-01-22,1342.9,5.11,1289.9764,76.249985,17.023565,24.745314
2001-01-23,1360.4,5.1,1310.9364,76.601128,16.945112,25.22711
2001-01-24,1364.3,5.14,1339.5179,77.56691,17.415819,25.16931
2001-01-25,1357.51,5.14,1350.9506,77.786377,17.611937,25.439108
2001-01-26,1354.95,5.04,1337.6119,80.20076,17.762604,24.976589
2001-01-29,1364.17,4.99,1331.9723,80.757416,17.946573,24.729906
2001-01-30,1373.73,4.89,1330.7524,81.902245,17.952917,25.278772
2001-01-31,1366.01,4.86,1295.9977,78.664337,17.883135,25.947886
2001-02-01,1373.47,4.87,1303.924,80.104195,17.997326,25.74439
2001-02-02,1349.47,4.93,1316.8811,77.449249,17.76895,25.590208
2001-02-05,1354.3101,4.96,1344.3192,78.818871,18.048071,26.148325
2001-02-06,1352.26,4.94,1319.3201,80.202515,18.232042,26.006491
2001-02-07,1340.89,4.94,1324.6552,82.206512,17.293163,26.286913
2001-02-08,1332.53,4.95,1306.3636,80.230644,17.76895,26.608103
2001-02-09,1314.76,4.93,1321.3015,78.754013,17.077473,27.036356
2001-02-12,1330.3101,4.93,1364.2883,80.793159,17.635731,27.004866
2001-02-13,1318.8,4.92,1356.3617,79.984512,17.711855,26.699429
2001-02-14,1315.92,4.94,1311.2413,80.933769,17.673792,26.428619
2001-02-15,1326.61,4.95,1320.3875,82.11512,17.762604,25.978329
2001-02-16,1301.53,4.89,1320.3875,80.863472,17.508846,26.456961
2001-02-20,1278.9399,4.92,1289.5955,78.402405,17.578636,26.387684
2001-02-21,1255.27,4.89,1239.292,75.596786,17.559601,26.299513
2001-02-22,1252.8199,4.88,1250.7244,76.574211,17.451759,26.516792
2001-02-23,1245.86,4.77,1232.4324,73.1287,17.984636,26.293232
2001-02-26,1267.65,4.71,1242.3411,74.042816,18.143229,26.387684
2001-02-27,1257.9399,4.7,1289.9001,72.137268,18.035385,25.915365
2001-02-28,1239.9399,4.73,1246.941,70.245743,17.642063,25.521742
2001-03-01,1241.23,4.72,1252.2765,74.570183,17.895826,25.631956
2001-03-02,1234.1801,4.72,1253.8007,71.933334,17.800661,26.201904
2001-03-05,1241.41,4.7,1250.7518,73.7686,17.952917,26.403423
2001-03-06,1253.8,4.67,1234.4412,74.535042,18.422359,26.324703
2001-03-07,1261.89,4.57,1251.2092,75.624939,18.447731,26.516792
2001-03-08,1264.74,4.56,1277.1233,74.865532,19.253391,27.033205
2001-03-09,1233.42,4.61,1245.7213,69.816849,19.094799,27.077297
2001-03-12,1180.16,4.54,1190.5391,67.144829,19.189947,26.375093
2001-03-13,1197.66,4.54,1201.0573,69.183975,18.929859,26.230238
2001-03-14,1166.71,4.43,1153.9537,66.772179,18.200321,26.022415
2001-03-15,1173.5601,4.41,1200.4474,67.194046,18.143229,26.120022
2001-03-16,1150.53,4.43,1189.0149,63.35479,18.035385,25.726419
2001-03-19,1170.8101,4.42,1173.771,65.112663,18.910826,25.587868
2001-03-20,1142.62,4.38,1174.5334,62.089115,18.282795,25.398943
2001-03-21,1122.14,4.21,1150.7527,62.637554,17.921196,25.131273
2001-03-22,1117.58,4.16,1145.1128,62.651619,17.642063,24.466858
2001-03-23,1139.83,4.19,1150.1428,65.752563,17.699163,24.214949
2001-03-26,1152.6899,4.19,1183.9844,67.081528,18.390633,24.64006
2001-03-27,1182.17,4.24,1207.6123,69.964508,17.838726,25.392643
2001-03-28,1153.29,4.23,1206.8496,66.385429,17.724531,24.76601
2001-03-29,1147.95,4.22,1190.692,66.828415,18.073444,24.652658
2001-03-30,1160.33,4.2,1227.1241,67.62999,17.838726,25.505995
2001-04-02,1145.87,4.12,1264.4711,66.561195,18.14957,25.065161
2001-04-03,1106.46,4.05,1222.7031,63.558685,17.362949,24.529839
2001-04-04,1103.25,4,1171.3322,64.690804,18.124197,24.781746
2001-04-05,1151.4399,4.01,1180.4781,69.057419,17.984636,25.483961
2001-04-06,1128.4301,3.85,1166.9115,68.874626,17.635731,25.852367
2001-04-09,1137.59,3.84,1161.2709,67.503448,18.396978,25.98148
2001-04-10,1168.38,3.85,1174.9901,69.648087,18.371607,26.450663
2001-04-11,1165.89,3.98,1173.619,68.508949,17.876799,25.801991
2001-04-12,1183.5,3.92,1185.9663,67.644066,18.396978,25.820887
2001-04-16,1179.6801,4.05,1182.1552,68.0308,18.511166,26.623846
2001-04-17,1191.8101,4.02,1196.6364,70.105118,18.320856,26.674231
2001-04-18,1238.16,3.82,1219.6548,74.886612,19.481766,26.806496
2001-04-19,1253.6899,3.78,1244.6538,80.490822,19.221672,26.592365
2001-04-20,1242.98,3.68,1204.2583,80.743935,19.031355,26.819084
2001-04-23,1224.36,3.66,1188.8622,78.754013,19.069426,27.710203
2001-04-24,1209.47,3.71,1176.8196,79.225136,18.822023,27.549623
2001-04-25,1228.75,3.75,1199.0756,80.758003,18.270109,28.053453
2001-04-26,1234.52,3.74,1217.2156,79.977486,18.523855,27.977875
2001-04-27,1253.05,3.76,1230.1729,81.70726,18.783949,28.043999
2001-04-30,1249.46,3.86,1246.941,80.961945,18.892897,27.899151
2001-05-01,1266.4399,3.83,1263.7094,83.331589,18.136671,27.962128
2001-05-02,1267.4301,3.8,1253.0388,81.144768,18.745499,27.237883
2001-05-03,1248.58,3.75,1260.6602,79.949348,18.393019,27.111923
2001-05-04,1266.61,3.65,1285.8129,81.468201,18.636551,27.568523
2001-05-07,1263.51,3.65,1283.3738,81.49633,18.232801,27.770054
2001-05-08,1261.2,3.62,1280.4773,82.862129,18.046949,27.943224
2001-05-09,1255.54,3.64,1278.3431,82.355255,17.995674,28.251829
2001-05-10,1255.1801,3.66,1265.2335,81.102081,18.213572,28.016495
2001-05-11,1245.67,3.69,1251.514,78.715477,17.82905,27.870224
2001-05-14,1248.92,3.63,1255.3251,79.243484,17.816238,28.321787
2001-05-15,1249.4399,3.55,1264.4711,79.961594,17.918776,28.445818
2001-05-16,1284.99,3.49,1291.3002,81.524475,18.002089,28.461721
2001-05-17,1288.49,3.49,1278.3431,81.010551,17.662426,28.216852
2001-05-18,1291.96,3.53,1274.6843,82.679085,17.386856,28.684317
2001-05-21,1312.83,3.57,1290.8429,83.805511,17.079233,28.223207
2001-05-22,1309.38,3.56,1268.2821,83.080383,16.649849,28.242279
2001-05-23,1289.05,3.56,1249.9901,82.650932,16.528084,27.752556
2001-05-24,1293.17,3.62,1259.2885,84.199738,16.438366,27.962454
2001-05-25,1277.89,3.58,1254.7156,82.932533,15.85517,28.016495
2001-05-29,1267.9301,3.63,1253.4957,81.151382,16.015385,27.921087
2001-05-30,1248.08,3.6,1244.835,79.306862,15.765448,28.261375
2001-05-31,1255.8199,3.55,1234.7737,78.708481,15.605227,28.223207
2001-06-01,1260.67,3.59,1220.9015,79.475838,15.759036,28.286806
2001-06-04,1267.11,3.6,1235.8409,80.003845,15.759036,28.884663
2001-06-05,1283.5699,3.55,1245.4445,82.348175,15.521915,29.113623
2001-06-06,1270.03,3.54,1234.7737,82.721313,15.521915,28.429897
2001-06-07,1276.96,3.55,1236.2981,82.545288,15.470642,28.359957
2001-06-08,1264.96,3.56,1231.1149,81.735649,15.380923,28.426737
2001-06-11,1254.39,3.52,1234.0111,82.622711,15.912846,28.525312
2001-06-12,1255.85,3.48,1232.6395,82.545288,15.803898,28.658875
2001-06-13,1241.6,3.47,1227.4569,82.045456,15.752625,28.614353
2001-06-14,1219.87,3.48,1230.9625,81.489281,15.688546,28.255011
2001-06-15,1214.36,3.44,1247.7316,79.975655,15.438601,28.270903
2001-06-18,1208.4301,3.44,1258.4021,80.44735,16.02179,28.150034
2001-06-19,1212.58,3.43,1275.3228,80.84864,15.85517,28.108698
2001-06-20,1223.14,3.41,1276.6953,79.616631,15.797483,27.905121
2001-06-21,1237.04,3.43,1307.9451,79.271667,16.598583,28.121414
2001-06-22,1225.35,3.37,1296.0553,79.461769,16.14356,28.280451
2001-06-25,1218.6,3.38,1287.3662,79.306862,16.073065,28.156408
2001-06-26,1216.76,3.38,1287.3662,79.581421,15.88721,28.169125
2001-06-27,1211.0699,3.44,1294.6832,79.919342,15.553961,27.742897
